name,slot,rarity,atk_base,def_base,hp_base,base_stat_pct,base_stat_type,theme,affixes,source
Ring of Eternal Vigil,Ring,legendary,10,15,61,,,defense,Army Def + Cav Def (guar.); Army Defense random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Heart of the Mountain,Accessory,legendary,9,10,92,,,defense,Army Def + Archer Def (guar.); Army Defense random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Heart of the World,Accessory,legendary,18,8,69,,,economy,March Speed + Gather Speed (guar.); Economy random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Conqueror's Signet,Ring,legendary,19,10,43,2,PvP ATK,pvp-off,+2% PvP ATK base; 4-slot PvP Offense pool; Conqueror's Regalia set,"PvP Offense (TH18+, Core only)"
Storewarden Plate,Armor,legendary,6,19,103,,,economy,March Speed + Gather Speed (guar.); Economy random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Boots of Hermes,Boots,legendary,10,8,94,5,March Speed,economy,+5% March Speed base; March Speed + Gather Speed (guar.); Economy pool,Monster Den 18–25 · Dungeon · Weekly Boss
Dragonscale Armor,Armor,legendary,2,18,122,,,dungeon,Army Def + Dungeon Dmg Reduction 3–6% (guar.); Titanbreaker set,Weekly Boss Lv 18–25 (rare rate)
Warden's Aegis,Armor,legendary,6,19,103,2,PvP Def,pvp-def,+2% PvP Def base; 4-slot PvP Defense pool; Warden's Vigil set,"PvP Defense (TH18+, Core only)"
Deathless Warplate,Armor,legendary,9,18,97,,,offense,Army ATK + Infantry ATK (guar.); Offense random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Ring of the Tyrant,Ring,legendary,29,6,25,,,offense,Army ATK + Cav ATK (guar.); Offense random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Stormcharge Sabatons,Boots,legendary,14,7,80,5,March Speed,offense,+5% March Speed base; Army ATK + Cav ATK (guar.); Offense pool,Monster Den 18–25 · Dungeon · Weekly Boss
Warcrown of Ash,Helm,legendary,17,13,73,,,offense,Army ATK + Archer ATK (guar.); rolls Cavalry Attack in random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Immortal Aegis,Armor,legendary,3,20,109,,,defense,Army Def + Infantry Def (guar.); Army Defense random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Immovable Sabatons,Boots,legendary,5,9,108,5,March Speed,defense,+5% March Speed base; Army Def + Cav Def (guar.); Army Defense pool,Monster Den 18–25 · Dungeon · Weekly Boss
Warden's Greathelm,Helm,legendary,12,15,86,2,PvP Def,pvp-def,+2% PvP Def base; 4-slot PvP Defense pool; Warden's Vigil set,"PvP Defense (TH18+, Core only)"
Juggernaut Plate,Armor,legendary,2,21,110,,,defense,Army Def + Infantry Def + Wall Health (guar.); –2% March Speed penalty,Monster Den 18–25 · Dungeon · Weekly Boss
Ring of Power,Ring,legendary,19,10,43,,,economy,March Speed + Gather Speed (guar.); Economy random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Heart of Ruin,Accessory,legendary,27,5,45,,,offense,Army ATK + Archer ATK (guar.); Offense random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Sovereign's Diadem,Helm,legendary,12,15,86,,,economy,March Speed + Gather Speed (guar.); Economy random pool,Monster Den 18–25 · Dungeon · Weekly Boss
Conqueror's Fang,Weapon,legendary,32,4,34,2,PvP ATK,pvp-off,+2% PvP ATK base; 4-slot PvP Offense pool; Conqueror's Regalia set,"PvP Offense (TH18+, Core only)"
